,customer_id,order_frequency,order_recency,order_monetary,R_score,F_score,M_score,RFM_score,Segment,Scores
0,1068,14,4,14254.55,4,4,4,444,VIP Champions,444
1,2836,10,13,12283.11,4,4,4,444,VIP Champions,444
2,298,10,8,11393.82,4,4,4,444,VIP Champions,444
3,117,10,5,12856.83,4,4,4,444,VIP Champions,444
4,2816,10,8,13562.73,4,4,4,444,VIP Champions,444
5,2023,10,13,10149.33,4,4,4,444,VIP Champions,444
6,729,10,1,15826.0,4,4,4,444,VIP Champions,444
7,2103,10,14,11617.25,4,4,4,444,VIP Champions,444
8,1396,10,9,11434.63,4,4,4,444,VIP Champions,444
9,174,10,11,12893.57,4,4,4,444,VIP Champions,444
10,320,10,12,11721.06,4,4,4,444,VIP Champions,444
11,704,10,10,10881.81,4,4,4,444,VIP Champions,444
12,1357,10,12,14010.38,4,4,4,444,VIP Champions,444
13,1331,10,5,11641.26,4,4,4,444,VIP Champions,444
14,953,9,11,10996.0,4,4,4,444,VIP Champions,444
15,621,9,2,11872.47,4,4,4,444,VIP Champions,444
16,515,9,14,12264.8,4,4,4,444,VIP Champions,444
17,346,9,12,8874.36,4,4,4,444,VIP Champions,444
18,1033,9,14,12744.87,4,4,4,444,VIP Champions,444
19,2705,9,2,12147.34,4,4,4,444,VIP Champions,444
20,37,9,7,11291.71,4,4,4,444,VIP Champions,444
21,2055,9,0,12172.04,4,4,4,444,VIP Champions,444
22,1792,10,6,9395.76,4,4,4,444,VIP Champions,444
23,1506,10,0,11058.14,4,4,4,444,VIP Champions,444
24,200,9,7,11117.36,4,4,4,444,VIP Champions,444
25,2523,10,6,9855.77,4,4,4,444,VIP Champions,444
26,3251,11,7,9947.98,4,4,4,444,VIP Champions,444
27,1991,10,1,12813.27,4,4,4,444,VIP Champions,444
28,3262,10,1,9899.64,4,4,4,444,VIP Champions,444
29,1748,10,2,11012.26,4,4,4,444,VIP Champions,444
30,2492,10,7,12661.35,4,4,4,444,VIP Champions,444
31,1530,10,1,13634.73,4,4,4,444,VIP Champions,444
32,2618,10,7,9670.59,4,4,4,444,VIP Champions,444
33,3256,10,12,12399.54,4,4,4,444,VIP Champions,444
34,1404,10,7,9401.71,4,4,4,444,VIP Champions,444
35,2606,10,5,12338.51,4,4,4,444,VIP Champions,444
36,109,10,8,10661.51,4,4,4,444,VIP Champions,444
37,1773,10,8,12135.49,4,4,4,444,VIP Champions,444
38,820,10,3,8742.57,4,4,4,444,VIP Champions,444
39,2165,10,0,9072.94,4,4,4,444,VIP Champions,444
40,3433,10,0,10471.84,4,4,4,444,VIP Champions,444
41,2391,10,12,10874.65,4,4,4,444,VIP Champions,444
42,3080,9,4,10388.83,4,4,4,444,VIP Champions,444
43,1091,10,4,10147.25,4,4,4,444,VIP Champions,444
44,739,10,1,9430.63,4,4,4,444,VIP Champions,444
45,793,10,1,12116.11,4,4,4,444,VIP Champions,444
46,2152,9,1,9894.84,4,4,4,444,VIP Champions,444
47,1390,9,1,9070.85,4,4,4,444,VIP Champions,444
48,142,11,4,12474.74,4,4,4,444,VIP Champions,444
49,2428,9,10,10167.49,4,4,4,444,VIP Champions,444
50,167,9,14,9888.61,4,4,4,444,VIP Champions,444
51,1000,9,0,10183.7,4,4,4,444,VIP Champions,444
52,2505,9,12,10295.31,4,4,4,444,VIP Champions,444
53,1558,9,8,13587.27,4,4,4,444,VIP Champions,444
54,1317,9,10,15370.81,4,4,4,444,VIP Champions,444
55,776,9,13,9151.17,4,4,4,444,VIP Champions,444
56,3118,9,12,14065.03,4,4,4,444,VIP Champions,444
57,925,9,12,10701.39,4,4,4,444,VIP Champions,444
58,768,9,5,9425.52,4,4,4,444,VIP Champions,444
59,2737,9,5,10510.1,4,4,4,444,VIP Champions,444
60,2653,9,3,12316.0,4,4,4,444,VIP Champions,444
61,344,9,8,11386.87,4,4,4,444,VIP Champions,444
62,2929,9,1,10903.63,4,4,4,444,VIP Champions,444
63,1950,9,6,12108.45,4,4,4,444,VIP Champions,444
64,2339,9,11,10497.39,4,4,4,444,VIP Champions,444
65,89,9,4,12741.44,4,4,4,444,VIP Champions,444
66,2465,9,11,9114.46,4,4,4,444,VIP Champions,444
67,2860,9,8,13804.79,4,4,4,444,VIP Champions,444
68,902,9,14,9408.53,4,4,4,444,VIP Champions,444
69,3086,9,11,9791.77,4,4,4,444,VIP Champions,444
70,3151,9,13,11451.18,4,4,4,444,VIP Champions,444
71,2308,9,13,11438.37,4,4,4,444,VIP Champions,444
72,478,9,3,8880.93,4,4,4,444,VIP Champions,444
73,1885,9,4,10587.23,4,4,4,444,VIP Champions,444
74,1905,9,10,9595.46,4,4,4,444,VIP Champions,444
